2026-08-30T02:34:23Z 96, 2398, [N/A], 56.69, 74 | 111995 830
2026-08-30T02:34:28Z 96, 2398, [N/A], 29.07, 64 | 111965 830
2026-08-30T02:34:33Z 96, 2398, [N/A], 26.88, 61 | 111949 830
2026-08-30T02:34:38Z 96, 2392, [N/A], 50.64, 66 | 111980 830
2026-08-30T02:34:43Z 96, 2392, [N/A], 54.52, 67 | 111969 830
2026-08-30T02:34:48Z 96, 2392, [N/A], 52.45, 66 | 111979 830
2026-08-30T02:34:53Z 96, 2398, [N/A], 54.76, 66 | 111983 830
2026-08-30T02:34:59Z 96, 2392, [N/A], 53.26, 66 | 111974 830
2026-08-30T02:35:04Z 96, 2385, [N/A], 62.57, 69 | 111973 830
2026-08-30T02:35:09Z 96, 2398, [N/A], 30.29, 64 | 111994 830
2026-08-30T02:35:14Z 96, 2392, [N/A], 45.37, 69 | 111973 830
2026-08-30T02:35:19Z 96, 2392, [N/A], 54.78, 67 | 111969 830
2026-08-30T02:35:24Z 96, 2392, [N/A], 45.35, 67 | 111966 830
2026-08-30T02:35:29Z 96, 2392, [N/A], 53.50, 68 | 111971 830
2026-08-30T02:35:34Z 96, 2392, [N/A], 51.36, 68 | 111993 830
2026-08-30T02:35:39Z 96, 2392, [N/A], 54.47, 71 | 112004 830
2026-08-30T02:35:44Z 96, 2392, [N/A], 46.18, 67 | 111987 830
2026-08-30T02:35:49Z 96, 2398, [N/A], 47.24, 68 | 112002 830
2026-08-30T02:35:55Z 96, 2398, [N/A], 30.44, 64 | 111973 830
2026-08-30T02:36:00Z 96, 2398, [N/A], 41.75, 66 | 111994 830
2026-08-30T02:36:05Z 96, 2392, [N/A], 53.18, 68 | 111991 830
2026-08-30T02:36:10Z 96, 2392, [N/A], 53.09, 68 | 111992 830
2026-08-30T02:36:15Z 96, 2392, [N/A], 45.05, 67 | 111974 830
2026-08-30T02:36:20Z 96, 2398, [N/A], 54.67, 71 | 111972 830
2026-08-30T02:36:25Z 96, 2398, [N/A], 46.56, 68 | 111976 830
2026-08-30T02:36:30Z 96, 2398, [N/A], 30.57, 65 | 111998 830
2026-08-30T02:36:35Z 96, 2398, [N/A], 30.37, 64 | 111963 830
2026-08-30T02:36:40Z 96, 2398, [N/A], 54.62, 68 | 111963 830
2026-08-30T02:36:45Z 96, 2392, [N/A], 54.00, 68 | 111959 830
2026-08-30T02:36:51Z 96, 2392, [N/A], 54.83, 67 | 111966 830
2026-08-30T02:36:56Z 96, 2392, [N/A], 55.31, 69 | 111962 830
2026-08-30T02:37:01Z 96, 2392, [N/A], 51.53, 67 | 111966 830
2026-08-30T02:37:06Z 96, 2392, [N/A], 54.90, 67 | 111945 830
2026-08-30T02:37:11Z 96, 2392, [N/A], 52.63, 68 | 111956 830
2026-08-30T02:37:16Z 96, 2398, [N/A], 46.85, 66 | 111972 830
2026-08-30T02:37:21Z 96, 2398, [N/A], 30.45, 64 | 111970 830
2026-08-30T02:37:26Z 96, 2398, [N/A], 51.81, 68 | 111956 830
2026-08-30T02:37:31Z 96, 2392, [N/A], 55.75, 68 | 111983 830
2026-08-30T02:37:36Z 96, 2392, [N/A], 53.10, 70 | 111963 830
2026-08-30T02:37:41Z 96, 2392, [N/A], 57.17, 69 | 111977 830
2026-08-30T02:37:47Z 96, 2398, [N/A], 54.39, 67 | 111991 830
2026-08-30T02:37:52Z 96, 2398, [N/A], 46.37, 68 | 112011 830
2026-08-30T02:37:57Z 96, 2398, [N/A], 30.45, 65 | 111995 830
2026-08-30T02:38:02Z 96, 2398, [N/A], 30.22, 64 | 111990 830
2026-08-30T02:38:07Z 96, 2392, [N/A], 54.48, 71 | 112005 830
2026-08-30T02:38:12Z 96, 2392, [N/A], 54.65, 68 | 112003 830
2026-08-30T02:38:17Z 96, 2398, [N/A], 55.50, 69 | 111977 830
2026-08-30T02:38:22Z 96, 2392, [N/A], 53.33, 67 | 111988 830
2026-08-30T02:38:27Z 96, 2392, [N/A], 55.47, 70 | 111996 830
2026-08-30T02:38:32Z 96, 2392, [N/A], 54.32, 69 | 112018 830
2026-08-30T02:38:37Z 96, 2398, [N/A], 52.21, 68 | 112012 830
2026-08-30T02:38:42Z 96, 2398, [N/A], 30.63, 65 | 111994 830
2026-08-30T02:38:48Z 96, 2398, [N/A], 29.59, 64 | 111989 830
2026-08-30T02:38:53Z 96, 2392, [N/A], 51.37, 68 | 111974 830
2026-08-30T02:38:58Z 96, 2398, [N/A], 54.49, 67 | 111987 830
2026-08-30T02:39:03Z 96, 2392, [N/A], 52.64, 68 | 112011 830
2026-08-30T02:39:08Z 96, 2398, [N/A], 53.73, 68 | 111971 830
2026-08-30T02:39:13Z 96, 2392, [N/A], 55.34, 69 | 111990 830
2026-08-30T02:39:18Z 96, 2398, [N/A], 55.60, 69 | 111975 830
2026-08-30T02:39:23Z 96, 2392, [N/A], 52.43, 68 | 111977 830
2026-08-30T02:39:28Z 96, 2398, [N/A], 54.63, 71 | 111973 830
2026-08-30T02:39:33Z 96, 2392, [N/A], 53.89, 72 | 111966 830
2026-08-30T02:39:38Z 96, 2392, [N/A], 48.88, 68 | 111974 830
2026-08-30T02:39:43Z 96, 2392, [N/A], 54.39, 69 | 111987 830
2026-08-30T02:39:49Z 96, 2398, [N/A], 45.81, 67 | 111971 830
2026-08-30T02:39:54Z 96, 2398, [N/A], 35.05, 65 | 111976 830
2026-08-30T02:39:59Z 96, 2398, [N/A], 34.90, 65 | 111974 830
2026-08-30T02:40:04Z 96, 2392, [N/A], 52.57, 66 | 111973 830
2026-08-30T02:40:09Z 96, 2392, [N/A], 52.60, 66 | 111956 830
2026-08-30T02:40:14Z 96, 2398, [N/A], 56.45, 68 | 111976 830
2026-08-30T02:40:19Z 96, 2392, [N/A], 53.77, 70 | 111991 830
